Catalogo: ACTIVIDAD_ECONOMICA
Clave Institución	Clave Registro	Descripción		
56292	56292	Recuperacion de residuos
56299	56299	Otros servicios de manejo de residuos
61111	61111	Escuelas de educacion preescolar
61112	61112	Escuelas de educacion primaria
61113	61113	Escuelas de educacion secundaria general
61114	61114	Escuelas de educacion secundaria tecnica
61115	61115	Escuelas de educacion media tecnica terminal
61116	61116	Escuelas de educacion media superior
61117	61117	Escuelas que combinan diversos niveles de educacion
61118	61118	Escuelas de educacion para necesidades especiales
61121	61121	Escuelas de educacion tecnica superior
61131	61131	Escuelas de educacion superior
61141	61141	Escuelas comerciales y secretariales
61142	61142	Escuelas de computacion
61143	61143	Escuelas para la capacitacion de ejecutivos
61151	61151	Escuelas de oficios
61161	61161	Escuelas de arte
61162	61162	Escuelas de deporte
61163	61163	Escuelas de idiomas
61169	61169	Otros servicios educativos
61171	61171	Servicios de apoyo a la educacion
62111	62111	Consultorios medicos
62121	62121	Consultorios dentales
62131	62131	Consultorios de quiropractica
62132	62132	Consultorios de optometria
62133	62133	Consultorios de psicologia
62134	62134	Consultorios de audiologia y de terapia ocupacional, fisica y del lenguaje
62139	62139	Otros consultorios para el cuidado de la salud
62141	62141	Centros de planificacion familiar
62142	62142	Centros de atencion medica externa para enfermos mentales y adictos
62149	62149	Otros centros para la atencion de pacientes que no requieren hospitalizacion
62151	62151	Laboratorios medicos y de diagnostico
62161	62161	Servicios de enfermeria a domicilio
62191	62191	Servicios de ambulancias
62199	62199	Servicios de bancos de organos, bancos de sangre y otros servicios auxiliares al tratamiento medico
62211	62211	Hospitales generales
62221	62221	Hospitales psiquiatricos y para el tratamiento por adiccion
62231	62231	Hospitales de otras especialidades medicas
62311	62311	Residencias con cuidados de enfermeras para enfermos convalecientes, en rehabilitacion, incurables y terminales
62321	62321	Residencias para el cuidado de personas con problemas de retardo mental
62322	62322	Residencias para el cuidado de personas con problemas de trastorno mental y adiccion
62331	62331	Asilos y otras residencias para el cuidado de ancianos
62399	62399	Orfanatos y otras residencias de asistencia social
