Catalogo: Catalogo_Cuenta_R04A
Clave Institución	Clave Registro	Descripción		
101802020600	101802020600	CONSUMO/RESTRINGIDOS/ARREND/
101802020700	101802020700	CONSUMO/RESTRINGIDOS/MICRO/
101802020800	101802020800	CONSUMO/RESTRINGIDOS/OTROS/
101803010100	101803010100	VIVIENDA/SIN RESTRICCION/MEDIA Y RES/
101803010200	101803010200	VIVIENDA/SIN RESTRICCION/INT SOCIAL/
101803010310	101803010310	VIVIENDA/SIN RESTRICCION/INFONAVIT O FOVISSSTE/ORDINARIA/
101803010320	101803010320	VIVIENDA/SIN RESTRICCION/INFONAVIT O FOVISSSTE/PRORROGA/
101803010330	101803010330	VIVIENDA/SIN RESTRICCION/INFONAVIT O FOVISSSTE/REG ESP/
101803010400	101803010400	VIVIENDA/SIN RESTRICCION/RTH/
101803010500	101803010500	VIVIENDA/SIN RESTRICCION/COFINAVIT/
101803020100	101803020100	VIVIENDA/RESTRINGIDOS/MEDIA Y RES/
101803020200	101803020200	VIVIENDA/RESTRINGIDOS/INT SOCIAL/
101803020310	101803020310	VIVIENDA/RESTRINGIDOS/INFONAVIT O FOVISSSTE/ORDINARIA/
101803020320	101803020320	VIVIENDA/RESTRINGIDOS/INFONAVIT O FOVISSSTE/PRORROGA/
101803020330	101803020330	VIVIENDA/RESTRINGIDOS/INFONAVIT O FOVISSSTE/REG ESP/
101803020400	101803020400	VIVIENDA/RESTRINGIDOS/RTH/
101803020500	101803020500	VIVIENDA/RESTRINGIDOS/COFINAVIT/
